"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","1","script","test_xafil","","","","test_1",""
"failed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","1","script","test_setuo和teardwon","","","","test_b",""
"failed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","5","script","test_setuo和teardwon","Test_ecshop","","","test_b",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_paramestrize","","","","test_login[120]",""
"failed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_order","","","","test_b","第二条"
"failed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_xafil","","","","test_2",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","4","script","test_setuo和teardwon","","","","test_a",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_paramestrize","","","","test_login[10086]",""
"failed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_pytest入门","","","","test_b",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_order","","","","test_d","第四条"
"failed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_xafil","","","","test_3",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_xafil","","","","test_4",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","1","script","test_paramestrize","","","","test_login1[110-jerry-123456]",""
"failed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","1","script","test_paramestrize","","","","test_login1[120-tom-456789]",""
"failed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","9","script","test_paramestrize","","","","test_login1[10086-eddie-987456]",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","1","script","test_paramestrize","","","","test_login[110]",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","5","script","test_setuo和teardwon","Test_ecshop","","","test_a",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","1","script","test_order","","","","test_c","第三条"
"passed","Wed Nov 20 13:30:11 CST 2019","Wed Nov 20 13:30:11 CST 2019","0","script","test_order","","","","test_a","第一条"
"skipped","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","0","script","test_skipif","","","","test_login",""
"passed","Wed Nov 20 13:30:12 CST 2019","Wed Nov 20 13:30:12 CST 2019","1","script","test_pytest入门","","","","test_a",""
